2024-06-23 11:30:37,366: 'x'
2024-06-23 11:30:37,765: 'c'
2024-06-23 11:30:37,837: 'z'
2024-06-23 11:30:37,973: 'x'
2024-06-23 11:30:38,005: 'c'
2024-06-23 11:30:46,734: 'c'
2024-06-23 11:30:46,846: 'z'
2024-06-23 11:30:46,886: 'x'
2024-06-23 11:30:47,005: 'c'2024-06-23 11:37:50,382: Key.ctrl_l
2024-06-23 11:37:50,509: '\x01'
2024-06-23 11:37:51,381: Key.backspace
2024-06-23 11:37:51,886: 'i'
2024-06-23 11:37:51,989: 's'
2024-06-23 11:37:52,165: 's'
2024-06-23 11:37:52,581: Key.backspace
2024-06-23 11:37:52,797: Key.space
2024-06-23 11:37:52,950: 'i'
2024-06-23 11:37:53,023: 't'
2024-06-23 11:37:53,133: Key.space
2024-06-23 11:37:53,268: 'r'
2024-06-23 11:37:53,381: 'u'
2024-06-23 11:37:53,461: 'n'
2024-06-23 11:37:53,621: 'n'
2024-06-23 11:37:53,797: 'i'
2024-06-23 11:37:53,852: 'n'
2024-06-23 11:37:54,045: 'g'
2024-06-23 11:37:54,221: Key.space
2024-06-23 11:37:55,053: 'n'
2024-06-23 11:37:55,189: 'o'
2024-06-23 11:37:55,278: 'w'
2024-06-23 11:37:55,525: Key.shift_r
2024-06-23 11:37:55,613: '?'
2024-06-23 11:38:08,334: Key.ctrl_l
2024-06-23 11:38:08,414: '\x01'
2024-06-23 11:38:08,822: Key.backspace
2024-06-23 11:38:09,509: 'h'
2024-06-23 11:38:09,630: 'w'
2024-06-23 11:38:09,838: 'o'
2024-06-23 11:38:10,013: Key.space
2024-06-23 11:38:10,165: 'd'
2024-06-23 11:38:10,238: 'o'
2024-06-23 11:38:10,349: Key.space
2024-06-23 11:38:10,501: 'i'
2024-06-23 11:38:11,341: Key.space
2024-06-23 11:38:11,494: 'm'
2024-06-23 11:38:11,549: 'a'
2024-06-23 11:38:11,662: 'k'
2024-06-23 11:38:11,743: 'e'
2024-06-23 11:38:11,837: Key.space
2024-06-23 11:38:11,958: 'i'
2024-06-23 11:38:12,077: 't'
2024-06-23 11:38:12,166: Key.space
2024-06-23 11:38:12,349: 'r'
2024-06-23 11:38:12,405: 'u'
2024-06-23 11:38:12,494: 'n'
2024-06-23 11:38:12,637: Key.space
2024-06-23 11:38:14,253: 'a'
2024-06-23 11:38:14,350: 'u'
2024-06-23 11:38:15,014: 't'
2024-06-23 11:38:15,334: 'o'
2024-06-23 11:38:15,518: 'm'
2024-06-23 11:38:15,630: 'a'
2024-06-23 11:38:16,958: 'c'
2024-06-23 11:38:18,109: Key.backspace
2024-06-23 11:38:18,966: 't'
2024-06-23 11:38:19,061: 'i'
2024-06-23 11:38:19,173: 'c'
2024-06-23 11:38:19,254: 'l'
2024-06-23 11:38:19,438: 'y'
2024-06-23 11:38:19,582: Key.space
2024-06-23 11:38:20,157: 't'
2024-06-23 11:38:20,271: 'h'
2024-06-23 11:38:20,365: 'o'
2024-06-23 11:38:20,454: 'u'
2024-06-23 11:38:32,069: 'd'
2024-06-23 11:38:32,157: 'i'
2024-06-23 11:38:32,230: 'd'
2024-06-23 11:38:32,327: Key.space
2024-06-23 11:38:32,461: 'i'
2024-06-23 11:38:32,533: 's'
2024-06-23 11:38:32,830: Key.backspace
2024-06-23 11:38:32,934: 't'
2024-06-23 11:38:33,045: Key.space
2024-06-23 11:38:33,237: 's'
2024-06-23 11:38:33,486: 't'
2024-06-23 11:38:34,253: 'o'
2024-06-23 11:38:34,302: 'p'
2024-06-23 11:38:34,629: Key.shift_r
2024-06-23 11:38:34,693: '?'
2024-06-23 11:38:52,957: 'h'
2024-06-23 11:38:53,277: 'o'
2024-06-23 11:38:53,366: 'w'
2024-06-23 11:38:53,469: Key.space
2024-06-23 11:38:53,565: 'd'
2024-06-23 11:38:53,693: 'o'
2024-06-23 11:38:53,869: Key.space
2024-06-23 11:38:54,030: 'i'
2024-06-23 11:38:54,141: Key.space
2024-06-23 11:38:54,262: 'm'
2024-06-23 11:38:54,422: 'k'
2024-06-23 11:38:54,510: 'a'
2024-06-23 11:38:54,646: Key.space
2024-06-23 11:38:54,926: Key.backspace
2024-06-23 11:38:55,078: Key.backspace
2024-06-23 11:38:55,229: Key.backspace
2024-06-23 11:38:55,574: 'a'
2024-06-23 11:38:55,680: 'k'
2024-06-23 11:38:55,781: 'e'
2024-06-23 11:38:55,846: Key.space
2024-06-23 11:38:55,990: 'i'
2024-06-23 11:38:56,071: 't'
2024-06-23 11:38:56,165: Key.space
2024-06-23 11:38:56,285: 's'
2024-06-23 11:38:56,598: 't'
2024-06-23 11:38:56,685: 'o'
2024-06-23 11:38:56,750: 'p'
2024-06-23 11:38:57,101: Key.shift_r
2024-06-23 11:38:57,118: '?'
